R²,MAE,RMSE,Model
0.7416533218583456,3305042.2531630164,8068771.757479208,Linear Regression
0.9479467121639356,1142231.028000793,3621846.771979752,Random Forest
-0.05920377745025962,5018068.787414391,16337881.821376786,SVR
0.9693984220340982,51.773781597396216,91.22729065557576,GradientBoosting
0.9857547924278564,1108293.018437834,1894699.6757019376,XGBoost
0.7256000801671095,2268913.748215366,8315684.044880645,LightGBM
0.8984128900880957,4488835.539619944,5059706.1164465,AdaBoost
